statute,description,subject_no,trr_id
720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19294233,96449
720 ILCS 5.0/18-1-B-1,ROBBERY - AGG ROBBERY/INDICATE ARM W/FIR ,19294233,96449
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19294233,96449
720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19294233,96450
720 ILCS 5.0/18-1-B-1,ROBBERY - AGG ROBBERY/INDICATE ARM W/FIR ,19294233,96450
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19294233,96450
10-8-515,SOLICITING UNLAWFUL BUSINESS,19294564,96453
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19294564,96453
720 ILCS 5.0/31-4.5-A,OBSTRUCTING IDENTIFICATION,19294564,96453
720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),19294564,96453
725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19294564,96453
720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19294608,96454
720 ILCS 550.0/4-C,CANNABIS - POSSESS 10-30 GRMS,19294608,96454
725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19294608,96454
720 ILCS 5.0/12-3.2-A-1,DOMESTIC BATTERY - BODILY HARM,19294827,96462
720 ILCS 5.0/24-1-A-4,UUW - CARRY/POSSESS FIREARM/1ST,19294827,96462
720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),19294827,96462
625 ILCS 5.0/12-603.1,DRIVER/SEATBELT/CHILD 6<16,19295112,96465
625 ILCS 5.0/3-707,INSURANCE - OPERATE MTR VEHICLE WITHOUT,19295112,96465
625 ILCS 5.0/6-303-A,DRIVING ON REVOKED LICENSE,19295112,96465
720 ILCS 5.0/21-5-A,CRIM TRESPASS TO STATE LAND   ,19295112,96465
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19295112,96465
625 ILCS 5.0/12-603.1,DRIVER/SEATBELT/CHILD 6<16,19295112,96466
625 ILCS 5.0/3-707,INSURANCE - OPERATE MTR VEHICLE WITHOUT,19295112,96466
625 ILCS 5.0/6-303-A,DRIVING ON REVOKED LICENSE,19295112,96466
720 ILCS 5.0/21-5-A,CRIM TRESPASS TO STATE LAND   ,19295112,96466
720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19295112,96466
