rank,star,status,status_datetime,officer_id,trr_id
OFFICER,4502,,2016-04-12 04:53:00 PM,,96449
SERGEANT,1543,,2016-04-13 05:02:00 AM,,96449
LIEUTENANT,330,,2016-04-13 07:36:00 AM,,96449
OFFICER,17679,,2016-04-12 04:49:00 PM,,96450
SERGEANT,1543,,2016-04-12 04:50:00 PM,,96450
LIEUTENANT,330,,2016-04-13 07:36:00 AM,,96450
OFFICER,18637,,2016-04-13 07:31:00 AM,,96451
SERGEANT,1029,,2016-04-13 07:40:00 AM,,96451
LIEUTENANT,258,,2016-04-13 07:45:00 AM,,96451
OFFICER,8277,,2016-04-13 06:38:00 AM,,96453
SERGEANT,1974,,2016-04-13 06:39:00 AM,,96453
LIEUTENANT,495,,2016-04-13 07:04:00 AM,,96453
OFFICER,11321,,2016-04-13 11:24:00 AM,,96454
SERGEANT,1433,,2016-04-13 11:26:00 AM,,96454
LIEUTENANT,714,,2016-04-13 12:52:00 AM,,96454
LIEUTENANT,537,,2016-04-13 02:25:00 PM,,96462
CAPTAIN,93,,2016-04-13 02:26:00 PM,,96462
CAPTAIN,93,,2016-04-13 02:41:00 PM,,96462
OFFICER,3909,,2016-04-14 05:18:00 AM,,96465
SERGEANT,1876,,2016-04-14 05:20:00 AM,,96465
LIEUTENANT,228,,2016-04-14 06:55:00 AM,,96465
OFFICER,11393,,2016-04-14 05:32:00 AM,,96466
SERGEANT,1876,,2016-04-14 05:41:00 AM,,96466
LIEUTENANT,228,,2016-04-14 06:59:00 AM,,96466
OFFICER,11370,,2016-04-14 05:38:00 AM,,96467
SERGEANT,1876,,2016-04-14 05:41:00 AM,,96467
LIEUTENANT,228,,2016-04-14 06:58:00 AM,,96467
OFFICER,4733,,2016-04-14 01:45:00 PM,,96470
SERGEANT,1906,,2016-04-14 01:49:00 PM,,96470
LIEUTENANT,556,,2016-04-14 01:56:00 PM,,96470
OFFICER,14953,,2016-04-14 01:54:00 PM,,96471
SERGEANT,1292,,2016-04-14 01:58:00 PM,,96471
LIEUTENANT,471,,2016-04-14 02:42:00 PM,,96471
OFFICER,11069,,2016-04-14 01:56:00 PM,,96472
SERGEANT,1292,,2016-04-14 01:57:00 PM,,96472
LIEUTENANT,471,,2016-04-14 02:37:00 PM,,96472
OFFICER,9936,,2016-04-14 04:33:00 PM,,96473
SERGEANT,1154,,2016-04-14 04:34:00 PM,,96473
LIEUTENANT,199,,2016-04-15 05:00:00 AM,,96473
OFFICER,11186,,2016-04-14 04:36:00 PM,,96474
SERGEANT,1154,,2016-04-14 04:38:00 PM,,96474
LIEUTENANT,743,,2016-04-16 12:34:00 AM,,96474
OFFICER,10773,,2016-04-14 04:10:00 PM,,96475
SERGEANT,2026,,2016-04-14 04:12:00 PM,,96475
LIEUTENANT,224,,2016-04-15 05:23:00 AM,,96475
OFFICER,16196,,2016-04-14 04:33:00 PM,,96476
SERGEANT,1154,,2016-04-14 04:35:00 PM,,96476
LIEUTENANT,199,,2016-04-14 04:53:00 PM,,96476
OFFICER,17733,,2016-04-15 05:11:00 AM,,96477
SERGEANT,1486,,2016-04-15 05:18:00 AM,,96477
LIEUTENANT,199,,2016-04-15 07:02:00 AM,,96477
OFFICER,5882,,2016-04-15 05:49:00 AM,,96478
SERGEANT,1486,,2016-04-15 05:52:00 AM,,96478
LIEUTENANT,199,,2016-04-15 06:59:00 AM,,96478
OFFICER,17733,,2016-04-15 05:18:00 AM,,96479
SERGEANT,1486,,2016-04-15 05:19:00 AM,,96479
LIEUTENANT,199,,2016-04-15 07:03:00 AM,,96479
OFFICER,5882,,2016-04-15 05:33:00 AM,,96480
SERGEANT,1486,,2016-04-15 05:38:00 AM,,96480
LIEUTENANT,199,,2016-04-15 06:57:00 AM,,96480
OFFICER,11974,,2016-04-15 06:52:00 AM,,96482
SERGEANT,1841,,2016-04-15 06:53:00 AM,,96482
LIEUTENANT,667,,2016-04-15 07:50:00 AM,,96482
OFFICER,10135,,2016-04-15 09:49:00 AM,,96483
SERGEANT,1088,,2016-04-15 09:52:00 AM,,96483
LIEUTENANT,471,,2016-04-15 10:01:00 AM,,96483
OFFICER,19643,,2016-04-15 09:50:00 AM,,96484
SERGEANT,1088,,2016-04-15 09:51:00 AM,,96484
LIEUTENANT,471,,2016-04-15 09:59:00 AM,,96484
OFFICER,15673,,2016-04-15 09:49:00 AM,,96485
SERGEANT,1088,,2016-04-15 09:50:00 AM,,96485
LIEUTENANT,471,,2016-04-15 10:04:00 AM,,96485
OFFICER,7594,,2016-04-15 09:50:00 AM,,96486
SERGEANT,1088,,2016-04-15 09:51:00 AM,,96486
LIEUTENANT,471,,2016-04-15 10:03:00 AM,,96486
OFFICER,3527,,2016-04-15 10:36:00 AM,,96487
SERGEANT,1836,,2016-04-15 10:51:00 AM,,96487
CAPTAIN,93,,2016-04-15 11:17:00 AM,,96487
OFFICER,19222,,2016-04-15 11:07:00 AM,,96489
SERGEANT,1836,,2016-04-15 11:10:00 AM,,96489
CAPTAIN,93,,2016-04-15 11:18:00 AM,,96489
OFFICER,16153,,2016-04-15 11:07:00 AM,,96490
SERGEANT,972,,2016-04-15 11:08:00 AM,,96490
LIEUTENANT,243,,2016-04-15 12:17:00 AM,,96490
OFFICER,19790,,2016-04-15 11:07:00 AM,,96491
SERGEANT,972,,2016-04-15 11:08:00 AM,,96491
LIEUTENANT,243,,2016-04-15 12:21:00 AM,,96491
OFFICER,17150,,2016-04-15 11:50:00 AM,,96492
SERGEANT,1595,,2016-04-15 11:52:00 AM,,96492
LIEUTENANT,603,,2016-04-15 12:28:00 AM,,96492
OFFICER,8420,,2016-04-15 11:54:00 AM,,96493
SERGEANT,1595,,2016-04-15 11:54:00 AM,,96493
LIEUTENANT,603,,2016-04-15 12:29:00 AM,,96493
OFFICER,15400,,2016-04-15 04:07:00 PM,,96496
SERGEANT,1214,,2016-04-15 04:38:00 PM,,96496
LIEUTENANT,258,,2016-04-16 06:04:00 AM,,96496
OFFICER,7718,,2016-04-16 06:06:00 AM,,96497
SERGEANT,1214,,2016-04-16 06:07:00 AM,,96497
LIEUTENANT,258,,2016-04-16 06:08:00 AM,,96497
OFFICER,14008,,2016-04-16 06:05:00 AM,,96498
SERGEANT,2529,,2016-04-16 06:08:00 AM,,96498
LIEUTENANT,719,,2016-04-16 06:16:00 AM,,96498
OFFICER,16142,,2016-04-16 06:19:00 AM,,96499
LIEUTENANT,719,,2016-04-16 06:23:00 AM,,96499
LIEUTENANT,719,,2016-04-16 06:25:00 AM,,96499
OFFICER,17702,,2016-04-16 06:56:00 AM,,96500
SERGEANT,1484,,2016-04-16 07:04:00 AM,,96500
LIEUTENANT,586,,2016-04-16 08:12:00 AM,,96500
SERGEANT,1093,,2016-04-16 06:50:00 AM,,96501
SERGEANT,1484,,2016-04-16 07:04:00 AM,,96501
LIEUTENANT,586,,2016-04-16 08:11:00 AM,,96501
OFFICER,19146,,2016-04-16 07:01:00 AM,,96502
SERGEANT,1484,,2016-04-16 07:04:00 AM,,96502
LIEUTENANT,586,,2016-04-16 08:11:00 AM,,96502
OFFICER,11974,,2016-04-16 08:15:00 AM,,96503
SERGEANT,1841,,2016-04-16 08:34:00 AM,,96503
LIEUTENANT,317,,2016-04-16 09:28:00 AM,,96503
OFFICER,9565,,2016-04-16 08:27:00 AM,,96504
SERGEANT,1841,,2016-04-16 08:28:00 AM,,96504
LIEUTENANT,317,,2016-04-16 09:23:00 AM,,96504
SERGEANT,1841,,2016-04-16 09:00:00 AM,,96506
LIEUTENANT,317,,2016-04-16 09:33:00 AM,,96506
LIEUTENANT,317,,2016-04-16 09:42:00 AM,,96506
OFFICER,9186,,2016-04-16 04:53:00 PM,,96508
SERGEANT,1061,,2016-04-16 04:54:00 PM,,96508
LIEUTENANT,248,,2016-04-17 05:03:00 AM,,96508
OFFICER,13832,,2016-04-16 10:01:00 AM,,96509
SERGEANT,1437,,2016-04-16 10:12:00 AM,,96509
LIEUTENANT,660,,2016-04-16 11:18:00 AM,,96509
OFFICER,15937,,2016-04-16 08:48:00 AM,,96510
SERGEANT,1437,,2016-04-16 08:51:00 AM,,96510
LIEUTENANT,660,,2016-04-16 08:59:00 AM,,96510
OFFICER,8496,,2016-04-16 08:53:00 AM,,96511
SERGEANT,1080,,2016-04-16 09:15:00 AM,,96511
LIEUTENANT,243,,2016-04-16 09:47:00 AM,,96511
